"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","","test_markers","",""
"","1381","User login with wrong email or password","LMS system","Tue Jan 27 14:31:35 UTC 2026","passed","Tue Jan 27 14:31:36 UTC 2026","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","TestUserAuthentication","test_markers","",""
"","1549","Registration with correct email, username and password","LMS system","Tue Jan 27 14:31:37 UTC 2026","passed","Tue Jan 27 14:31:38 UTC 2026","Registration","Authentication","",""
"","0","test_regression_case","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","","test_markers","",""
"","1955","Create course","LMS system","Tue Jan 27 14:31:39 UTC 2026","passed","Tue Jan 27 14:31:41 UTC 2026","Courses","Courses","",""
"","1405","Check displaying of empty courses list","LMS system","Tue Jan 27 14:31:38 UTC 2026","passed","Tue Jan 27 14:31:39 UTC 2026","Courses","Courses","",""
"","1275","Navigation from login page to registration page","LMS system","Tue Jan 27 14:31:35 UTC 2026","passed","Tue Jan 27 14:31:37 UTC 2026","Authorization","Authentication","",""
"","1538","User login with wrong email or password","LMS system","Tue Jan 27 14:31:34 UTC 2026","passed","Tue Jan 27 14:31:35 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","TestUserAuthentication","test_markers","",""
"","2612","Edit course","LMS system","Tue Jan 27 14:31:40 UTC 2026","passed","Tue Jan 27 14:31:43 UTC 2026","Courses","Courses","",""
"","1568","User login with wrong email or password","LMS system","Tue Jan 27 14:31:32 UTC 2026","passed","Tue Jan 27 14:31:33 UTC 2026","Authorization","Authentication","",""
"","1408","Check displaying of dashboard page","LMS system","Tue Jan 27 14:31:43 UTC 2026","passed","Tue Jan 27 14:31:44 UTC 2026","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","TestUserInterface","test_markers","",""
"","2914","User login with correct email and password","LMS system","Tue Jan 27 14:31:32 UTC 2026","passed","Tue Jan 27 14:31:35 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Tue Jan 27 14:31:42 UTC 2026","passed","Tue Jan 27 14:31:42 UTC 2026","TestUserAuthentication","test_markers","",""
